full-title,title,label
<p>เตรียมรองรับคนไทย ที่ทยอยเดินทางกลับจากต่างประเทศกว่า 7 พันคน จริงหรือ?</p>,เตรียมรองรับคนไทย ที่ทยอยเดินทางกลับจากต่างประเทศกว่า 7 พันคน,real
<p>ข่าวปลอม อย่าแชร์! ดื่มเบกกิ้งโซดา ช่วยให้ออกกำลังกายได้นานขึ้น</p>,ดื่มเบกกิ้งโซดา ช่วยให้ออกกำลังกายได้นานขึ้น,fake
<p>ข่าวปลอม อย่าแชร์! ล้างไขมันในลำไส้ ด้วยชามะละกอ</p>,ล้างไขมันในลำไส้ ด้วยชามะละกอ,fake
<p>ข่าวบิดเบือน อย่าแชร์! กระเทียมไทย ช่วยต้านไวรัสโควิด-19</p>,กระเทียมไทย ช่วยต้านไวรัสโควิด-19,incorrect
<p>ข่าวปลอม อย่าแชร์! พบผู้ติดเชื้อโควิด-19 จำนวน 3 คน ที่ตลาดเสรี จ.นครปฐม</p>,พบผู้ติดเชื้อโควิด-19 จำนวน 3 คน ที่ตลาดเสรี จ.นครปฐม,fake
<p>ข่าวปลอม อย่าแชร์! อย. ขอรับการสนับสนุนค่าโฆษณาจัดทำวารสารฉบับพิเศษ อย. Report</p>,อย. ขอรับการสนับสนุนค่าโฆษณาจัดทำวารสารฉบับพิเศษ อย. Report,fake
"<p>ข่าวปลอม อย่าแชร์! พมจ.ช่วยเหลือผู้พิการ แจกเงินคนละ 2,000 บาท</p>","พมจ.ช่วยเหลือผู้พิการ แจกเงินคนละ 2,000 บาท",fake
<p>เดินทางข้ามจังหวัด โดยไม่มีเหตุจำเป็น อาจโดนกักตัว 14 วัน จริงหรือ?</p>,เดินทางข้ามจังหวัด โดยไม่มีเหตุจำเป็น อาจโดนกักตัว 14 วัน,real
<p>ข่าวปลอม อย่าแชร์! น้ำรากบัว รักษาหอบหืด แก้ภูมิแพ้ และไซนัสอักเสบ</p>,น้ำรากบัว รักษาหอบหืด แก้ภูมิแพ้ และไซนัสอักเสบ,fake
<p>การรถไฟฯ แจ้งยกเลิกขบวนรถทางไกล ทุกขบวน มีผลทันที 3 พ.ค. 63 จริงหรือ?</p>,การรถไฟฯ แจ้งยกเลิกขบวนรถทางไกล ทุกขบวน มีผลทันที 3 พ.ค. 63,real
<p>ข่าวบิดเบือน อย่าแชร์! ประกาศห้าม! แจกอาหารให้กับประชาชนตั้งแต่ 3 พ.ค. 63</p>,ประกาศห้าม! แจกอาหารให้กับประชาชนตั้งแต่ 3 พ.ค. 63,incorrect
<p>ราชกิจจาประกาศ เคอร์ฟิวทั่วราชอาณาจักร งดเดินทางข้ามจังหวัด จริงหรือ?</p>,ราชกิจจาประกาศ เคอร์ฟิวทั่วราชอาณาจักร งดเดินทางข้ามจังหวัด,real
"<p>ข่าวบิดเบือน อย่าแชร์! ฉีดวิตามินซี 10,000 มิลลิกรัม ช่วยป้องกันโควิด-19</p>","ฉีดวิตามินซี 10,000 มิลลิกรัม ช่วยป้องกันโควิด-19",incorrect
<p>ข่าวปลอม อย่าแชร์! รถเมล์สาย 110 หยุดวิ่งถาวร</p>,รถเมล์สาย 110 หยุดวิ่งถาวร,fake
